epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,12184.5,0.01968,1.86446,2.0166,0.59555,0.48815,0.51488,0.3158,0.0186,1.85455,2.00673,0.00829,0.00829,0.00829
59,12394.4,0.01963,1.85631,2.02051,0.60071,0.48438,0.51371,0.3154,0.01861,1.84563,2.00706,0.00826,0.00826,0.00826
60,12604.8,0.01962,1.85252,2.0085,0.60687,0.48059,0.51462,0.31708,0.01856,1.84407,2.0039,0.00823,0.00823,0.00823
61,12814.6,0.01952,1.84528,2.01106,0.59798,0.4833,0.51468,0.31677,0.01856,1.84207,2.00239,0.0082,0.0082,0.0082
62,13024.6,0.0195,1.83767,2.01234,0.60241,0.47848,0.51632,0.31701,0.01854,1.83488,2.00056,0.00817,0.00817,0.00817
63,13234.7,0.01951,1.83053,2.00936,0.60454,0.48549,0.51773,0.31977,0.01849,1.83038,2.00041,0.00814,0.00814,0.00814
64,13444.9,0.01947,1.83449,2.00614,0.60701,0.48538,0.51747,0.31805,0.01848,1.83095,1.999,0.00811,0.00811,0.00811
65,13654.9,0.01945,1.82371,2.00577,0.59802,0.49144,0.52006,0.32005,0.01852,1.82556,2.00246,0.00808,0.00808,0.00808
66,13865.2,0.01941,1.81443,2.00801,0.59789,0.4889,0.51813,0.31827,0.0185,1.82136,2.00112,0.00805,0.00805,0.00805
67,14075.2,0.01941,1.80713,1.99866,0.6009,0.49378,0.52044,0.31969,0.01844,1.82582,1.99685,0.00802,0.00802,0.00802
68,14285.1,0.0194,1.80031,2.00033,0.61421,0.48838,0.52321,0.32132,0.01846,1.8205,1.99773,0.00799,0.00799,0.00799
69,14495.3,0.01939,1.79657,2.00434,0.60516,0.49186,0.5243,0.3233,0.01842,1.81268,1.99542,0.00796,0.00796,0.00796
70,14704.5,0.01933,1.79566,2.00209,0.61526,0.48863,0.52438,0.32335,0.01842,1.80954,1.99482,0.00793,0.00793,0.00793
71,14913.3,0.0193,1.78449,2.00081,0.60581,0.49511,0.52539,0.32398,0.01836,1.80723,1.99267,0.0079,0.0079,0.0079
72,15122.1,0.01926,1.77889,2.00613,0.60772,0.49622,0.52844,0.32553,0.01836,1.80065,1.99223,0.00787,0.00787,0.00787
73,15331.9,0.01928,1.78385,2.0018,0.60326,0.49814,0.52853,0.32736,0.01832,1.8071,1.99182,0.00784,0.00784,0.00784
74,15540.9,0.0193,1.78147,2.00251,0.61205,0.49557,0.52915,0.32711,0.01834,1.80003,1.99256,0.00781,0.00781,0.00781
75,15750,0.01923,1.76838,2.0001,0.62136,0.49032,0.52965,0.32712,0.01833,1.79965,1.99081,0.00778,0.00778,0.00778
76,15959.8,0.01929,1.77577,1.99468,0.61352,0.49222,0.52837,0.3268,0.01829,1.80176,1.99101,0.00775,0.00775,0.00775
77,16168.5,0.01915,1.75135,1.99576,0.62669,0.4914,0.5304,0.32848,0.01828,1.79182,1.98961,0.00772,0.00772,0.00772
78,16378.1,0.01921,1.75858,1.99354,0.62486,0.49179,0.53121,0.32872,0.0183,1.78867,1.98882,0.00769,0.00769,0.00769
79,16586.8,0.01922,1.75339,1.9893,0.6159,0.50124,0.53259,0.32894,0.01828,1.78756,1.98864,0.00766,0.00766,0.00766
80,16796.2,0.01919,1.74911,1.99622,0.61414,0.49698,0.53234,0.32925,0.01824,1.78821,1.98604,0.00763,0.00763,0.00763
81,17004.5,0.01903,1.73358,1.98911,0.61871,0.49904,0.53219,0.3282,0.01825,1.78462,1.98713,0.0076,0.0076,0.0076
82,17213.4,0.01915,1.73779,1.99549,0.61788,0.49578,0.53164,0.3286,0.01823,1.78731,1.98659,0.00757,0.00757,0.00757
83,17422.8,0.01909,1.74366,1.99269,0.6222,0.49438,0.53112,0.32783,0.01822,1.78622,1.98512,0.00754,0.00754,0.00754
84,17631.8,0.01908,1.72518,1.98891,0.62204,0.49676,0.5326,0.32972,0.01822,1.77955,1.98481,0.00751,0.00751,0.00751
85,17841.6,0.01918,1.73578,1.98936,0.63078,0.49634,0.53383,0.33036,0.01822,1.78214,1.98407,0.00748,0.00748,0.00748
86,18050,0.01905,1.72111,1.98725,0.62414,0.49701,0.5329,0.32946,0.01821,1.77984,1.98476,0.00745,0.00745,0.00745
87,18259,0.01901,1.71162,1.98304,0.6305,0.49544,0.53368,0.33041,0.0182,1.77868,1.98532,0.00742,0.00742,0.00742
88,18468.2,0.01903,1.71515,1.9824,0.62422,0.50045,0.53361,0.33037,0.01819,1.7804,1.98457,0.00739,0.00739,0.00739
89,18676.9,0.01904,1.70935,1.98693,0.61615,0.50408,0.5344,0.33095,0.01818,1.77708,1.98338,0.00736,0.00736,0.00736
90,18885.9,0.01906,1.71442,1.98641,0.62644,0.50146,0.53699,0.33273,0.01819,1.77544,1.98325,0.00733,0.00733,0.00733
91,19095.3,0.01892,1.69427,1.98099,0.62289,0.50893,0.53621,0.33129,0.01819,1.77645,1.98286,0.0073,0.0073,0.0073
92,19305.1,0.01899,1.69908,1.9816,0.62111,0.50392,0.53568,0.33163,0.01816,1.77355,1.98198,0.00727,0.00727,0.00727
93,19513.7,0.01896,1.69166,1.98409,0.62651,0.50295,0.53861,0.33394,0.01816,1.77159,1.98202,0.00724,0.00724,0.00724
94,19723,0.01896,1.68295,1.98255,0.62079,0.50661,0.5366,0.33356,0.01815,1.76897,1.98158,0.00721,0.00721,0.00721
95,19932.3,0.01887,1.67958,1.97773,0.62074,0.50542,0.53767,0.33376,0.01814,1.76776,1.98179,0.00718,0.00718,0.00718
96,20141.8,0.01894,1.67701,1.97813,0.63795,0.49689,0.53758,0.33421,0.01813,1.76679,1.98038,0.00715,0.00715,0.00715
97,20351.2,0.01887,1.67122,1.97491,0.63341,0.49845,0.53822,0.33437,0.01812,1.76622,1.98023,0.00712,0.00712,0.00712
98,20560.3,0.01877,1.66062,1.97793,0.6245,0.50407,0.53884,0.33478,0.01812,1.76515,1.98045,0.00709,0.00709,0.00709
99,20769.3,0.01885,1.66684,1.98013,0.61619,0.51081,0.53853,0.33463,0.01812,1.7625,1.98016,0.00706,0.00706,0.00706
100,20977.9,0.0187,1.65001,1.97358,0.63153,0.50617,0.54009,0.33514,0.01812,1.76044,1.98093,0.00703,0.00703,0.00703
101,21186.8,0.01881,1.65497,1.9767,0.62664,0.5079,0.53946,0.33499,0.0181,1.76204,1.98061,0.007,0.007,0.007
102,21396.4,0.01881,1.65212,1.97474,0.63367,0.50337,0.54007,0.3357,0.0181,1.76328,1.9802,0.00697,0.00697,0.00697
103,21605.6,0.01873,1.64675,1.97509,0.62701,0.50592,0.53952,0.33586,0.0181,1.76343,1.98007,0.00694,0.00694,0.00694
104,21815.1,0.0188,1.64337,1.96982,0.62708,0.50647,0.53823,0.33403,0.0181,1.7637,1.98013,0.00691,0.00691,0.00691
105,22024.3,0.01878,1.64655,1.96864,0.62764,0.5097,0.54005,0.33518,0.0181,1.76104,1.98004,0.00688,0.00688,0.00688
106,22233.5,0.01871,1.63797,1.96858,0.63037,0.50733,0.54034,0.33577,0.0181,1.75986,1.98033,0.00685,0.00685,0.00685
107,22443,0.0187,1.62374,1.96903,0.62536,0.5119,0.54097,0.33613,0.0181,1.75924,1.98087,0.00682,0.00682,0.00682
108,22651.8,0.01876,1.63772,1.97265,0.62802,0.51017,0.53993,0.33546,0.01809,1.75862,1.981,0.00679,0.00679,0.00679
109,22861.4,0.01874,1.63425,1.97315,0.62019,0.51259,0.54125,0.33682,0.01807,1.76047,1.98004,0.00676,0.00676,0.00676
110,23070.9,0.01862,1.61873,1.96394,0.62372,0.51133,0.5417,0.3373,0.01807,1.75517,1.97965,0.00673,0.00673,0.00673
111,23280,0.01868,1.61939,1.96795,0.62367,0.51272,0.54238,0.33735,0.01806,1.75437,1.97889,0.0067,0.0067,0.0067
112,23489.6,0.01868,1.61508,1.96536,0.62418,0.51201,0.54223,0.33744,0.01805,1.75532,1.97841,0.00667,0.00667,0.00667
113,23698.5,0.01869,1.62026,1.96655,0.61828,0.51534,0.54242,0.33796,0.01804,1.75642,1.97802,0.00664,0.00664,0.00664
114,23908.6,0.01872,1.61551,1.96914,0.61624,0.5169,0.54306,0.33768,0.01804,1.75626,1.97769,0.00661,0.00661,0.00661
115,24117.6,0.01864,1.6057,1.96435,0.62208,0.5138,0.54282,0.33775,0.01804,1.755,1.97767,0.00658,0.00658,0.00658
116,24327.2,0.01868,1.60818,1.96498,0.62932,0.50999,0.54345,0.33839,0.01803,1.75352,1.97706,0.00655,0.00655,0.00655
117,24536.6,0.01861,1.60237,1.96368,0.63349,0.5108,0.54297,0.3376,0.01802,1.75338,1.97689,0.00652,0.00652,0.00652
118,24746.4,0.01867,1.60062,1.96264,0.63847,0.50981,0.54367,0.33785,0.01802,1.75332,1.97711,0.00649,0.00649,0.00649
119,24955.8,0.01853,1.5916,1.96359,0.64101,0.50809,0.54403,0.33813,0.01803,1.75336,1.97694,0.00646,0.00646,0.00646
120,25165,0.0186,1.58698,1.96471,0.64302,0.5044,0.54333,0.33788,0.01802,1.75233,1.97692,0.00643,0.00643,0.00643
121,25374.1,0.01854,1.59247,1.96088,0.63263,0.50863,0.54239,0.33748,0.01802,1.75199,1.97697,0.0064,0.0064,0.0064
122,25583.6,0.01853,1.58373,1.95584,0.63788,0.508,0.54268,0.33773,0.01801,1.75153,1.97648,0.00637,0.00637,0.00637
123,25793,0.01857,1.5846,1.9615,0.64744,0.50433,0.54333,0.33767,0.01801,1.75154,1.97671,0.00634,0.00634,0.00634
124,26002.1,0.0185,1.5725,1.96047,0.64276,0.50492,0.54386,0.33836,0.01801,1.75213,1.97658,0.00631,0.00631,0.00631
125,26211,0.01854,1.57939,1.95789,0.6336,0.50934,0.54352,0.33887,0.018,1.75212,1.97626,0.00628,0.00628,0.00628
126,26420,0.01851,1.57023,1.96089,0.63071,0.51186,0.54384,0.33915,0.018,1.75216,1.97619,0.00625,0.00625,0.00625
127,26629.3,0.0185,1.57049,1.95539,0.6275,0.51469,0.54395,0.33927,0.01799,1.75233,1.9759,0.00622,0.00622,0.00622
128,26838.7,0.01844,1.56715,1.96013,0.6251,0.51655,0.54467,0.33968,0.01798,1.75298,1.9759,0.00619,0.00619,0.00619
129,27047.7,0.01835,1.55185,1.95207,0.63066,0.51599,0.54472,0.33985,0.01798,1.75378,1.97584,0.00616,0.00616,0.00616
130,27257.4,0.0185,1.56411,1.95782,0.63369,0.51303,0.54458,0.33942,0.01798,1.75296,1.97574,0.00613,0.00613,0.00613
131,27466.8,0.01841,1.55406,1.9526,0.64005,0.50887,0.54532,0.34013,0.01798,1.75261,1.97598,0.0061,0.0061,0.0061
132,27675.9,0.0183,1.54101,1.95006,0.63813,0.51308,0.5449,0.33964,0.01797,1.75308,1.97564,0.00607,0.00607,0.00607
133,27886.1,0.01857,1.55562,1.95226,0.63412,0.51543,0.54482,0.33945,0.01797,1.75341,1.97537,0.00604,0.00604,0.00604
134,28095,0.01844,1.5453,1.95064,0.63278,0.51682,0.54526,0.3399,0.01797,1.75354,1.97532,0.00601,0.00601,0.00601
135,28304,0.01846,1.5469,1.95734,0.63463,0.51563,0.54507,0.33999,0.01797,1.75258,1.97491,0.00598,0.00598,0.00598
136,28512.9,0.01833,1.53445,1.95291,0.63496,0.51473,0.54462,0.33978,0.01796,1.7521,1.97488,0.00595,0.00595,0.00595
137,28721.6,0.01838,1.53885,1.95606,0.63636,0.51398,0.54466,0.33961,0.01796,1.75253,1.97479,0.00592,0.00592,0.00592
138,28931.4,0.01838,1.53203,1.95268,0.63547,0.51243,0.54469,0.3396,0.01796,1.75219,1.97421,0.00589,0.00589,0.00589
139,29140.6,0.01831,1.53088,1.95045,0.6326,0.51206,0.54424,0.33925,0.01795,1.75214,1.97371,0.00586,0.00586,0.00586
140,29350.1,0.01842,1.52929,1.94846,0.63692,0.5117,0.54415,0.33891,0.01795,1.75224,1.97367,0.00583,0.00583,0.00583
141,29559.6,0.01836,1.52426,1.94936,0.63514,0.51296,0.54366,0.33865,0.01796,1.75254,1.97365,0.0058,0.0058,0.0058
142,29768.5,0.01833,1.52063,1.94593,0.63718,0.51453,0.54389,0.33893,0.01796,1.75249,1.97361,0.00577,0.00577,0.00577
143,29978.1,0.0183,1.51256,1.9444,0.6384,0.51335,0.54369,0.33873,0.01796,1.75221,1.97347,0.00574,0.00574,0.00574
144,30187.1,0.01828,1.50379,1.94531,0.63711,0.51357,0.54362,0.33844,0.01795,1.75215,1.97295,0.00571,0.00571,0.00571
145,30396.9,0.01824,1.51004,1.94889,0.63601,0.51438,0.54428,0.3389,0.01795,1.75182,1.97308,0.00568,0.00568,0.00568
146,30606.8,0.01828,1.50939,1.94904,0.63715,0.51343,0.54441,0.33938,0.01795,1.75247,1.97254,0.00565,0.00565,0.00565
147,30816.3,0.01822,1.50045,1.94352,0.63227,0.51681,0.54446,0.33912,0.01795,1.75286,1.97245,0.00562,0.00562,0.00562
148,31025.4,0.01824,1.50051,1.94737,0.63844,0.5135,0.54456,0.33908,0.01794,1.75275,1.97241,0.00559,0.00559,0.00559
149,31234.6,0.01823,1.49847,1.94351,0.63756,0.51332,0.54475,0.33935,0.01793,1.75349,1.97199,0.00556,0.00556,0.00556
150,31444.4,0.01829,1.49963,1.94017,0.6393,0.51168,0.54465,0.33945,0.01793,1.7529,1.97211,0.00553,0.00553,0.00553
151,31653.5,0.01823,1.49156,1.9436,0.63868,0.51078,0.54504,0.33927,0.01793,1.75293,1.97221,0.0055,0.0055,0.0055
152,31862.7,0.01816,1.48458,1.93858,0.63765,0.5108,0.54524,0.33943,0.01793,1.75322,1.9721,0.00547,0.00547,0.00547
