epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2068.34,0.0165,1.2765,1.10639,0.52036,0.29278,0.29273,0.09314,0.01697,1.45762,1.08361,0.00763,0.00763,0.00763
81,2094.15,0.01689,1.26001,1.08375,0.50552,0.28473,0.28012,0.08864,0.01741,1.51305,1.09074,0.0076,0.0076,0.0076
82,2119.86,0.01675,1.25895,1.08325,0.51976,0.30728,0.30252,0.0987,0.01685,1.42087,1.08221,0.00757,0.00757,0.00757
83,2145.6,0.01629,1.26202,1.09772,0.51653,0.28912,0.28696,0.09087,0.01733,1.49293,1.09894,0.00754,0.00754,0.00754
84,2171.32,0.01644,1.26045,1.10006,0.50276,0.28144,0.278,0.08786,0.0172,1.51137,1.08529,0.00751,0.00751,0.00751
85,2197.14,0.01667,1.27044,1.08688,0.51358,0.29578,0.29716,0.09398,0.01713,1.42718,1.10162,0.00748,0.00748,0.00748
86,2222.8,0.01633,1.25911,1.0788,0.52797,0.30277,0.30814,0.10038,0.01694,1.39842,1.0936,0.00745,0.00745,0.00745
87,2248.8,0.01672,1.2619,1.0751,0.51692,0.29623,0.29782,0.0939,0.01727,1.45246,1.09649,0.00742,0.00742,0.00742
88,2274.75,0.01659,1.24913,1.08753,0.5259,0.29656,0.28698,0.09224,0.01692,1.40662,1.09608,0.00739,0.00739,0.00739
89,2300.52,0.01632,1.25461,1.09971,0.53194,0.30355,0.30605,0.09801,0.01708,1.3822,1.09981,0.00736,0.00736,0.00736
90,2326.13,0.01632,1.2435,1.09236,0.52506,0.30757,0.31421,0.10259,0.01678,1.36426,1.09467,0.00733,0.00733,0.00733
91,2352.09,0.01654,1.26299,1.07254,0.52911,0.30922,0.31216,0.1038,0.01675,1.42798,1.09863,0.0073,0.0073,0.0073
92,2378.06,0.01639,1.24667,1.08582,0.52413,0.30279,0.30085,0.0967,0.01693,1.42572,1.08445,0.00727,0.00727,0.00727
93,2403.93,0.01671,1.23201,1.05669,0.50666,0.28198,0.27928,0.08807,0.01722,1.45394,1.10162,0.00724,0.00724,0.00724
94,2429.64,0.01642,1.24528,1.07992,0.54065,0.31086,0.3178,0.10489,0.01695,1.37201,1.10179,0.00721,0.00721,0.00721
95,2455.51,0.01617,1.20901,1.06091,0.53552,0.30576,0.31177,0.1026,0.01679,1.42801,1.08263,0.00718,0.00718,0.00718
96,2481.39,0.0164,1.2121,1.04712,0.53861,0.31008,0.32322,0.10736,0.01707,1.39009,1.09984,0.00715,0.00715,0.00715
97,2507.09,0.01622,1.21415,1.06416,0.52531,0.2945,0.31077,0.09844,0.01721,1.43279,1.10666,0.00712,0.00712,0.00712
98,2532.89,0.01631,1.2155,1.06599,0.52275,0.30819,0.30616,0.09899,0.01682,1.3963,1.08632,0.00709,0.00709,0.00709
99,2558.72,0.01619,1.21027,1.05499,0.54114,0.29931,0.31342,0.10288,0.01683,1.40564,1.09313,0.00706,0.00706,0.00706
100,2584.33,0.01627,1.20856,1.05559,0.53623,0.30646,0.31078,0.10365,0.01677,1.36829,1.09536,0.00703,0.00703,0.00703
101,2610.18,0.01602,1.172,1.07464,0.53201,0.3079,0.31026,0.10171,0.01689,1.40579,1.10116,0.007,0.007,0.007
102,2636.08,0.01634,1.20983,1.06371,0.53486,0.31073,0.31553,0.10335,0.01672,1.39743,1.09177,0.00697,0.00697,0.00697
103,2661.73,0.01588,1.18398,1.05812,0.53633,0.31695,0.32043,0.1068,0.01668,1.37601,1.09708,0.00694,0.00694,0.00694
104,2687.36,0.01591,1.18311,1.07814,0.55194,0.30712,0.31009,0.10154,0.01677,1.40276,1.09846,0.00691,0.00691,0.00691
105,2713.23,0.016,1.18682,1.06242,0.5401,0.31484,0.32886,0.10963,0.01684,1.39498,1.10122,0.00688,0.00688,0.00688
106,2739.16,0.01596,1.17299,1.02939,0.5387,0.31094,0.31737,0.10557,0.01682,1.37779,1.10515,0.00685,0.00685,0.00685
107,2765.14,0.01603,1.19176,1.05029,0.53554,0.30868,0.31503,0.10304,0.01682,1.40793,1.09539,0.00682,0.00682,0.00682
108,2790.96,0.01604,1.19069,1.05277,0.53409,0.30979,0.31555,0.10401,0.01681,1.38475,1.09732,0.00679,0.00679,0.00679
109,2816.59,0.01573,1.17536,1.06454,0.53217,0.31747,0.32046,0.1048,0.01683,1.39053,1.09751,0.00676,0.00676,0.00676
110,2842.34,0.01565,1.17094,1.06732,0.54565,0.31357,0.31114,0.102,0.01671,1.43637,1.0834,0.00673,0.00673,0.00673
111,2868.07,0.01564,1.1566,1.06797,0.54413,0.30917,0.32135,0.10685,0.01674,1.43292,1.08888,0.0067,0.0067,0.0067
112,2893.92,0.01563,1.13922,1.05494,0.55764,0.31904,0.33606,0.11105,0.01679,1.39739,1.09105,0.00667,0.00667,0.00667
113,2919.8,0.01575,1.14902,1.05297,0.53332,0.30655,0.31984,0.1042,0.01689,1.4247,1.09169,0.00664,0.00664,0.00664
114,2945.62,0.01563,1.15073,1.04621,0.54096,0.31719,0.33356,0.11192,0.01669,1.35813,1.09625,0.00661,0.00661,0.00661
115,2971.6,0.01568,1.14593,1.04994,0.53835,0.31636,0.32503,0.1075,0.01676,1.40937,1.09615,0.00658,0.00658,0.00658
116,2997.35,0.01579,1.1488,1.03845,0.53996,0.31661,0.32803,0.10835,0.01675,1.38653,1.10166,0.00655,0.00655,0.00655
117,3023.2,0.01554,1.12146,1.03629,0.52181,0.30642,0.3113,0.10072,0.01719,1.45149,1.10561,0.00652,0.00652,0.00652
118,3048.85,0.0155,1.14538,1.04721,0.53498,0.31764,0.31926,0.10544,0.01673,1.40684,1.10363,0.00649,0.00649,0.00649
119,3074.46,0.01544,1.1311,1.04105,0.54096,0.31838,0.32547,0.10744,0.01679,1.35999,1.0983,0.00646,0.00646,0.00646
120,3100.19,0.0153,1.13238,1.04534,0.5314,0.31468,0.31854,0.10385,0.01677,1.3825,1.09481,0.00643,0.00643,0.00643
121,3126.06,0.01539,1.12966,1.05863,0.53253,0.31304,0.31108,0.10287,0.01682,1.40136,1.09749,0.0064,0.0064,0.0064
122,3151.68,0.01513,1.08136,1.03132,0.5393,0.31957,0.33505,0.11354,0.01679,1.3721,1.11118,0.00637,0.00637,0.00637
123,3177.64,0.01542,1.10285,1.03483,0.53357,0.32253,0.3298,0.10948,0.0167,1.36886,1.10186,0.00634,0.00634,0.00634
124,3203.32,0.01518,1.11515,1.03679,0.5162,0.30954,0.31104,0.09879,0.01706,1.40391,1.10772,0.00631,0.00631,0.00631
